ingredient,AIC,Artusi,total_usage,artusi_freq,aic_freq,freq_diff
orange,23.0,8.0,31.0,1.0126582278481013,0.8849557522123894,-0.1277024756357119
tomato pulp,30.0,0.0,30.0,0.0,1.1542901115813775,1.1542901115813775
savoy cabbage,25.0,5.0,30.0,0.6329113924050633,0.9619084263178146,0.32899703391275126
pork rind,25.0,5.0,30.0,0.6329113924050633,0.9619084263178146,0.32899703391275126
wild fennel,29.0,1.0,30.0,0.12658227848101267,1.115813774528665,0.9892314960476523
lardon,0.0,30.0,30.0,3.79746835443038,0.0,-3.79746835443038
cherry tomato,29.0,0.0,29.0,0.0,1.115813774528665,1.115813774528665
leek,29.0,0.0,29.0,0.0,1.115813774528665,1.115813774528665
apple,24.0,5.0,29.0,0.6329113924050633,0.923432089265102,0.2905206968600387
chicken,19.0,10.0,29.0,1.2658227848101267,0.7310504040015391,-0.5347723808085876
sweetbread,8.0,20.0,28.0,2.5316455696202533,0.30781069642170067,-2.2238348731985527
saffron,24.0,4.0,28.0,0.5063291139240507,0.923432089265102,0.41710297534105134
salted cod,20.0,8.0,28.0,1.0126582278481013,0.7695267410542517,-0.24313148679384966
sun-dried tomato,28.0,0.0,28.0,0.0,1.0773374374759523,1.0773374374759523
cinnamon stick,17.0,11.0,28.0,1.3924050632911391,0.6540977298961139,-0.7383073333950252
prosciutto cotto,25.0,3.0,28.0,0.37974683544303794,0.9619084263178146,0.5821615908747766
cold water,12.0,16.0,28.0,2.0253164556962027,0.461716044632551,-1.5636004110636517
rabbit,26.0,2.0,28.0,0.25316455696202533,1.0003847633705272,0.7472202064085018
cuttlefish,24.0,3.0,27.0,0.37974683544303794,0.923432089265102,0.543685253822064
unsweetened cocoa powder,26.0,0.0,26.0,0.0,1.0003847633705272,1.0003847633705272
semolina,16.0,10.0,26.0,1.2658227848101267,0.6156213928434013,-0.6502013919667253
vanillin,26.0,0.0,26.0,0.0,1.0003847633705272,1.0003847633705272
lukewarm water,24.0,2.0,26.0,0.25316455696202533,0.923432089265102,0.6702675323030767
herbs,25.0,1.0,26.0,0.12658227848101267,0.9619084263178146,0.8353261478368019
cauliflower,22.0,4.0,26.0,0.5063291139240507,0.8464794151596767,0.34015030123562606
anchovy fillet,25.0,1.0,26.0,0.12658227848101267,0.9619084263178146,0.8353261478368019
caciocavallo,26.0,0.0,26.0,0.0,1.0003847633705272,1.0003847633705272
fava bean,25.0,1.0,26.0,0.12658227848101267,0.9619084263178146,0.8353261478368019
lamb,23.0,2.0,25.0,0.25316455696202533,0.8849557522123894,0.6317911952503641
chickpea,25.0,0.0,25.0,0.0,0.9619084263178146,0.9619084263178146
mozzarella,25.0,0.0,25.0,0.0,0.9619084263178146,0.9619084263178146
mushroom,9.0,16.0,25.0,2.0253164556962027,0.34628703347441325,-1.6790294222217894
beef,23.0,2.0,25.0,0.25316455696202533,0.8849557522123894,0.6317911952503641
shallot,17.0,7.0,24.0,0.8860759493670887,0.6540977298961139,-0.23197821947097474
wine vinegar,22.0,1.0,23.0,0.12658227848101267,0.8464794151596767,0.7198971366786641
bitter almond,9.0,14.0,23.0,1.7721518987341773,0.34628703347441325,-1.425864865259764
mortadella,18.0,5.0,23.0,0.6329113924050633,0.6925740669488265,0.05966267454376317
cardoon,16.0,6.0,22.0,0.7594936708860759,0.6156213928434013,-0.14387227804267455
currant,2.0,20.0,22.0,2.5316455696202533,0.07695267410542517,-2.454692895514828
chestnut,19.0,3.0,22.0,0.37974683544303794,0.7310504040015391,0.35130356855850114
potato starch,14.0,8.0,22.0,1.0126582278481013,0.5386687187379762,-0.47398950911012516
cocoa powder,19.0,3.0,22.0,0.37974683544303794,0.7310504040015391,0.35130356855850114
grana padano,22.0,0.0,22.0,0.0,0.8464794151596767,0.8464794151596767
black truffle,17.0,5.0,22.0,0.6329113924050633,0.6540977298961139,0.02118633749105059
dried fig,22.0,0.0,22.0,0.0,0.8464794151596767,0.8464794151596767
fish broth,18.0,3.0,21.0,0.37974683544303794,0.6925740669488265,0.31282723150578856
candied orange,15.0,6.0,21.0,0.7594936708860759,0.5771450557906888,-0.18234861509538713
clam,20.0,0.0,20.0,0.0,0.7695267410542517,0.7695267410542517
porcini mushroom,16.0,4.0,20.0,0.5063291139240507,0.6156213928434013,0.10929227891935067
